# La4Ni3O10 Ni L3 edge RIXS
# Room temperature
# RIXS resolution ~ 0.4 eV
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy loss 	 Intensity
-45.537800        44.85
-45.458245       432.85
-45.378714       497.85
-45.299207       413.65
-45.219725       947.40
-45.140268      1238.10
-45.060835      1608.05
-44.981427      1316.00
-44.902043      1576.55
-44.822684      1306.35
-44.743350      1528.80
-44.664040       827.40
-44.584754      1174.70
-44.505493      1331.30
-44.426257      1283.05
-44.347045      1547.80
-44.267858      2153.85
-44.188695      1294.05
-44.109557       958.75
-44.030443      1171.40
-43.951354       902.60
-43.872289       611.05
-43.793249      1126.40
-43.714233       976.75
-43.635242      1659.60
-43.556276      2303.00
-43.477334      1434.60
-43.398416       102.10
-43.319524       687.95
-43.240655      1572.75
-43.161812      1509.70
-43.082992      1728.90
-43.004198      1751.40
-42.925427      1263.90
-42.846682       815.20
-42.767961      1406.40
-42.689264       991.65
-42.610592      1346.75
-42.531945       553.70
-42.453322       584.60
-42.374724       762.80
-42.296150       615.15
-42.217601       798.25
-42.139076      1028.25
-42.060576       728.60
-41.982100      1000.30
-41.903649      1336.35
-41.825222      1174.20
-41.746820       942.00
-41.668443      1225.00
-41.590090       822.15
-41.511761       952.65
-41.433458      1773.05
-41.355178       455.05
-41.276924        87.75
-41.198693       548.65
-41.120488       353.20
-41.042306       519.70
-40.964150       644.10
-40.886018       970.80
-40.807910      1102.05
-40.729827       796.85
-40.651769      1528.45
-40.573735      1832.95
-40.495726      1547.85
-40.417741      1000.40
-40.339780      1338.35
-40.261845      1049.25
-40.183933      1874.40
-40.106047       842.15
-40.028185       999.50
-39.950347      1337.40
-39.872534      1899.85
-39.794746      1240.80
-39.716982      1296.75
-39.639242      1341.80
-39.561527      1526.40
-39.483837      1458.85
-39.406171      1185.45
-39.328530       614.50
-39.250913       549.45
-39.173321      1029.15
-39.095754      1225.05
-39.018210       940.20
-38.940692      1420.50
-38.863198      1602.80
-38.785728      1069.25
-38.708284      1422.25
-38.630863      1055.80
-38.553467       778.10
-38.476096       999.90
-38.398749      1177.90
-38.321427      1354.55
-38.244129      1202.35
-38.166856       657.65
-38.089608       155.45
-38.012384       837.90
-37.935184       550.70
-37.858009       966.90
-37.780859       852.25
-37.703733      1699.50
-37.626632      1509.20
-37.549555      1726.10
-37.472503      1405.70
-37.395475      1561.00
-37.318472      1312.20
-37.241493      1842.60
-37.164539      1243.40
-37.087609      1545.45
-37.010704       515.75
-36.933824       867.20
-36.856968       976.25
-36.780137      1065.20
-36.703330      1808.25
-36.626547      1417.95
-36.549790       454.20
-36.473057      1047.35
-36.396348      1539.20
-36.319664      1605.30
-36.243004      1020.60
-36.166369      1502.40
-36.089759      1443.80
-36.013173      1587.25
-35.936611      1559.10
-35.860074      1188.90
-35.783562       584.45
-35.707074       535.65
-35.630611       488.90
-35.554172       609.50
-35.477758       928.60
-35.401368       878.80
-35.325003      1179.40
-35.248663       940.85
-35.172347      1029.00
-35.096055      1819.65
-35.019788      1941.25
-34.943546      1592.35
-34.867328      1665.60
-34.791135      1647.05
-34.714966      2078.00
-34.638822      1147.20
-34.562702       950.60
-34.486607       857.40
-34.410536       128.85
-34.334490       894.10
-34.258469      1193.50
-34.182472      1176.65
-34.106499       545.90
-34.030551       915.20
-33.954628      1014.95
-33.878729       893.00
-33.802855      1077.90
-33.727005      1345.20
-33.651180      1730.60
-33.575379      1265.40
-33.499603       771.25
-33.423852       796.55
-33.348125      2217.45
-33.272422      2004.80
-33.196744       923.60
-33.121091      1040.00
-33.045462      1168.65
-32.969858      1550.45
-32.894278      1068.65
-32.818723      1629.90
-32.743192      1775.85
-32.667686      1616.35
-32.592204      1532.45
-32.516747      2007.40
-32.441315      1468.90
-32.365907      2269.90
-32.290523      2460.65
-32.215164      2161.80
-32.139830      1532.95
-32.064520      1613.10
-31.989235      1365.60
-31.913974      1632.95
-31.838738      1414.65
-31.763526      1595.00
-31.688339       928.80
-31.613177       649.55
-31.538039      1074.20
-31.462925      1536.95
-31.387836       836.65
-31.312772      1722.95
-31.237732      1724.30
-31.162717      1974.35
-31.087726      1163.80
-31.012760      1277.65
-30.937818      1616.45
-30.862901      1407.25
-30.788008      1176.55
-30.713140      2155.25
-30.638296      2113.15
-30.563477      2256.00
-30.488683      1260.95
-30.413913      1477.70
-30.339168      1584.50
-30.264447      2471.15
-30.189751      2448.25
-30.115079      2135.30
-30.040432      1722.70
-29.965809       938.55
-29.891211       736.90
-29.816637      1822.20
-29.742088      1620.90
-29.667564      1181.10
-29.593064      2443.10
-29.518588      2023.05
-29.444137      1544.20
-29.369711      1303.20
-29.295309      1498.25
-29.220932      2046.15
-29.146579      1899.00
-29.072251      1951.80
-28.997948      1713.55
-28.923669      2227.20
-28.849414      1920.95
-28.775184      1326.85
-28.700979      1150.25
-28.626798      1711.05
-28.552641      1730.35
-28.478509      1535.25
-28.404402      1709.15
-28.330319      1646.45
-28.256261      1128.40
-28.182227      1146.55
-28.108218       942.65
-28.034234      1310.40
-27.960274       958.80
-27.886338       866.80
-27.812427       983.60
-27.738541       985.95
-27.664679      1144.60
-27.590842      1071.30
-27.517029      1037.25
-27.443240      1179.95
-27.369477      1325.30
-27.295738      1493.45
-27.222023      2306.45
-27.148333      1925.05
-27.074667      1754.00
-27.001026      1289.35
-26.927410      1350.25
-26.853818      1453.20
-26.780251      2412.70
-26.706708       970.75
-26.633189      1074.65
-26.559696      1734.55
-26.486226      1537.85
-26.412782      1286.55
-26.339362      1088.40
-26.265966      1925.30
-26.192595      1073.90
-26.119248       622.55
-26.045926      1294.75
-25.972629      1526.30
-25.899356      1315.20
-25.826108       443.55
-25.752884       587.90
-25.679685      1623.60
-25.606510      2467.90
-25.533360      1046.35
-25.460234       793.40
-25.387133      1314.65
-25.314056       968.50
-25.241004      1456.25
-25.167977      2111.60
-25.094974      1267.60
-25.021996      2113.10
-24.949042      1500.50
-24.876112       961.75
-24.803208      1025.15
-24.730327      1342.20
-24.657472      1524.10
-24.584641      1221.45
-24.511834       506.65
-24.439052       688.10
-24.366294       762.75
-24.293561      1929.05
-24.220853      1263.65
-24.148169      1559.75
-24.075510      1662.40
-24.002875      1152.70
-23.930265      1097.10
-23.857679       707.40
-23.785118       598.90
-23.712581      1222.05
-23.640069      1141.15
-23.567581      1259.70
-23.495118       930.85
-23.422680       566.60
-23.350266      1262.60
-23.277876       638.75
-23.205512       481.50
-23.133171      1027.65
-23.060856      1261.40
-22.988564      1288.35
-22.916298      1437.30
-22.844055      1707.30
-22.771838      1674.50
-22.699645       992.50
-22.627476      1387.50
-22.555332       843.40
-22.483213       895.00
-22.411118       653.85
-22.339047      1629.70
-22.267002      1394.40
-22.194980      1270.55
-22.122984       487.20
-22.051011      -114.55
-21.979064       578.05
-21.907141       692.40
-21.835242       -30.10
-21.763368       -27.45
-21.691519       721.20
-21.619694      1454.05
-21.547893       985.50
-21.476117       734.55
-21.404366       513.20
-21.332639       853.00
-21.260937      1127.90
-21.189259      1001.10
-21.117606       705.00
-21.045977       169.80
-20.974373      -798.35
-20.902794      -100.45
-20.831239       222.90
-20.759708      1542.15
-20.688202      1286.40
-20.616721       559.50
-20.545264       367.80
-20.473832       829.25
-20.402424       499.65
-20.331041       751.80
-20.259682       751.40
-20.188348      1307.65
-20.117039       770.35
