# La4Ni3O10 O K edge XAS
# Room temperature
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
8.45056e+02 -9.55406e-04 6.13502e-04
8.45270e+02 -5.75298e-04 -9.20253e-04
8.45480e+02 -5.59652e-05 5.97765e-04
8.45674e+02 4.60266e-04 -5.64354e-04
8.45889e+02 1.12640e-03 2.73340e-04
8.46061e+02 2.04170e-03 9.96033e-04
8.46259e+02 2.98456e-03 2.10005e-03
8.46487e+02 4.31201e-03 1.88941e-03
8.46689e+02 5.89413e-03 3.33117e-03
8.46871e+02 7.70439e-03 6.16868e-03
8.47073e+02 1.00853e-02 1.01671e-02
8.47276e+02 1.31331e-02 1.36196e-02
8.47487e+02 1.67798e-02 1.68178e-02
8.47673e+02 2.18856e-02 2.39576e-02
8.47876e+02 2.75738e-02 3.01785e-02
8.48071e+02 3.59158e-02 4.02914e-02
8.48265e+02 4.65868e-02 5.42598e-02
8.48473e+02 6.23049e-02 7.19434e-02
8.48681e+02 8.50305e-02 1.00610e-01
8.48888e+02 1.16582e-01 1.35481e-01
8.49092e+02 1.60028e-01 1.89486e-01
8.49262e+02 2.26554e-01 2.64600e-01
8.49453e+02 3.05973e-01 3.50165e-01
8.49669e+02 4.47818e-01 4.94639e-01
8.49869e+02 6.16254e-01 6.59645e-01
8.50060e+02 7.78369e-01 8.10514e-01
8.50286e+02 9.32304e-01 9.47611e-01
8.50481e+02 1.00000e+00 1.00000e+00
8.50652e+02 9.73389e-01 9.72481e-01
8.50860e+02 8.70935e-01 8.74772e-01
8.51060e+02 7.27883e-01 7.40195e-01
8.51286e+02 5.81051e-01 5.96395e-01
8.51466e+02 4.65545e-01 4.83619e-01
8.51679e+02 3.78353e-01 3.97808e-01
8.51875e+02 3.22277e-01 3.45992e-01
8.52076e+02 2.86190e-01 3.17255e-01
8.52264e+02 2.69554e-01 3.15662e-01
8.52478e+02 2.66043e-01 3.36951e-01
8.52683e+02 2.71912e-01 3.87748e-01
8.52893e+02 2.78677e-01 4.40542e-01
8.53094e+02 2.73013e-01 4.54951e-01
8.53269e+02 2.54181e-01 4.39226e-01
8.53475e+02 2.27794e-01 4.12241e-01
8.53690e+02 2.06759e-01 3.83743e-01
8.53870e+02 1.89160e-01 3.62111e-01
8.54084e+02 1.75007e-01 3.42194e-01
8.54265e+02 1.62962e-01 3.24833e-01
8.54449e+02 1.53590e-01 3.10341e-01
8.54655e+02 1.43906e-01 2.94149e-01
8.54879e+02 1.33581e-01 2.69895e-01
8.55055e+02 1.25078e-01 2.50838e-01
8.55275e+02 1.16193e-01 2.29776e-01
8.55494e+02 1.08286e-01 2.06843e-01
8.55671e+02 1.01985e-01 1.90687e-01
8.55856e+02 9.65719e-02 1.76015e-01
8.56055e+02 9.06467e-02 1.58751e-01
8.56270e+02 8.58410e-02 1.43230e-01
8.56469e+02 8.21554e-02 1.33368e-01
8.56680e+02 7.84887e-02 1.21055e-01
8.56892e+02 7.55161e-02 1.11060e-01
8.57065e+02 7.32399e-02 1.04277e-01
8.57277e+02 7.09720e-02 9.82570e-02
8.57475e+02 6.87644e-02 9.20554e-02
8.57679e+02 6.71909e-02 8.61249e-02
