# La4Ni3O10 O K edge XAS
# Room temperature
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
5.25152e+02 2.10793e-03 -5.51030e-04
5.25350e+02 1.40095e-03 2.91719e-04
5.25548e+02 -5.20839e-04 6.54465e-04
5.25747e+02 -1.30981e-03 1.31078e-03
5.25947e+02 -1.66151e-03 -9.00793e-04
5.26149e+02 -1.99348e-03 2.84183e-04
5.26357e+02 -3.35244e-03 -1.03534e-03
5.26551e+02 3.02001e-03 -2.03813e-03
5.26750e+02 1.60813e-03 6.46081e-04
5.26948e+02 7.01061e-04 1.33807e-03
5.27154e+02 2.15221e-03 1.54274e-03
5.27352e+02 2.77022e-03 1.00382e-03
5.27560e+02 3.05747e-03 9.02093e-04
5.27748e+02 2.50450e-03 2.96906e-03
5.27943e+02 4.43647e-04 3.38999e-03
5.28153e+02 8.17872e-04 3.14457e-03
5.28348e+02 1.25113e-03 5.19937e-03
5.28555e+02 2.17026e-03 9.27006e-03
5.28751e+02 2.94685e-03 1.05668e-02
5.28955e+02 4.10364e-03 1.62794e-02
5.29148e+02 5.52800e-03 2.42865e-02
5.29347e+02 9.60377e-03 3.80942e-02
5.29545e+02 1.82655e-02 7.03006e-02
5.29754e+02 4.80142e-02 1.70973e-01
5.29953e+02 1.39245e-01 4.27167e-01
5.30153e+02 2.98943e-01 7.33744e-01
5.30349e+02 4.30321e-01 8.81253e-01
5.30551e+02 4.69971e-01 8.84300e-01
5.30752e+02 4.37960e-01 8.17850e-01
5.30947e+02 3.91624e-01 7.34998e-01
5.31151e+02 3.53129e-01 6.62588e-01
5.31351e+02 3.30980e-01 6.15102e-01
5.31540e+02 3.13303e-01 5.68266e-01
5.31753e+02 2.91287e-01 5.17106e-01
5.31949e+02 2.69681e-01 4.66727e-01
5.32154e+02 2.49542e-01 4.17571e-01
5.32346e+02 2.34259e-01 3.78694e-01
5.32551e+02 2.27021e-01 3.47581e-01
5.32748e+02 2.32810e-01 3.28939e-01
5.32950e+02 2.44860e-01 3.29152e-01
5.33156e+02 2.64301e-01 3.41815e-01
5.33351e+02 2.89767e-01 3.55386e-01
5.33545e+02 3.30755e-01 3.82833e-01
5.33745e+02 3.90184e-01 4.38359e-01
5.33953e+02 4.68277e-01 5.25544e-01
5.34147e+02 5.54545e-01 6.20779e-01
5.34352e+02 6.42622e-01 7.18441e-01
5.34547e+02 7.36710e-01 8.06295e-01
5.34754e+02 8.32903e-01 8.74675e-01
5.34946e+02 9.48540e-01 9.23190e-01
5.35155e+02 1.06445e+00 9.55412e-01
5.35352e+02 1.16934e+00 9.82987e-01
5.35544e+02 1.26356e+00 1.01784e+00
5.35753e+02 1.32200e+00 1.05887e+00
5.35944e+02 1.34827e+00 1.09801e+00
5.36154e+02 1.36105e+00 1.13019e+00
5.36347e+02 1.37952e+00 1.16070e+00
5.36546e+02 1.40877e+00 1.19255e+00
5.36745e+02 1.44513e+00 1.21622e+00
5.36946e+02 1.46984e+00 1.22666e+00
5.37152e+02 1.48682e+00 1.22776e+00
5.37354e+02 1.48862e+00 1.21701e+00
5.37544e+02 1.50085e+00 1.21283e+00
5.37750e+02 1.53166e+00 1.22455e+00
5.37952e+02 1.57884e+00 1.24970e+00
5.38150e+02 1.61082e+00 1.27290e+00
5.38349e+02 1.60802e+00 1.27519e+00
5.38549e+02 1.55558e+00 1.24479e+00
5.38750e+02 1.46019e+00 1.18841e+00
5.38947e+02 1.34659e+00 1.11923e+00
5.39142e+02 1.23003e+00 1.04522e+00
5.39347e+02 1.11713e+00 9.65273e-01
5.39551e+02 1.02502e+00 8.88596e-01
5.39744e+02 9.50892e-01 8.27987e-01
5.39955e+02 8.93768e-01 7.83113e-01
5.40149e+02 8.59356e-01 7.60046e-01
5.40352e+02 8.42282e-01 7.59529e-01
5.40547e+02 8.41795e-01 7.71591e-01
5.40743e+02 8.52022e-01 7.93138e-01
5.40941e+02 8.64229e-01 8.12992e-01
5.41145e+02 8.83909e-01 8.37573e-01
5.41344e+02 9.07367e-01 8.57004e-01
5.41548e+02 9.33031e-01 8.82222e-01
5.41750e+02 9.60926e-01 9.06467e-01
5.41949e+02 9.88653e-01 9.24530e-01
5.42149e+02 1.01639e+00 9.46799e-01
5.42351e+02 1.04867e+00 9.76131e-01
5.42545e+02 1.07751e+00 9.97700e-01
