# La4Ni3O10 Ni L3 edge RIXS
# Room temperature
# RIXS resolution ~ 0.4 eV
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy loss 	 Intensity
-45.560392      -126.45
-45.480836       165.10
-45.401305       221.95
-45.321799       240.15
-45.242317       580.85
-45.162860       966.75
-45.083427       984.45
-45.004019      1105.20
-44.924635      1222.20
-44.845276      1484.25
-44.765941      1719.45
-44.686631      1035.95
-44.607346       885.05
-44.528085      1124.50
-44.448848      1700.90
-44.369636      1446.85
-44.290449      1244.30
-44.211286       782.05
-44.132148      1051.60
-44.053034      1326.00
-43.973945      1009.50
-43.894880       728.65
-43.815840      1417.90
-43.736825      1458.30
-43.657834      1875.55
-43.578867      1731.10
-43.499925       799.80
-43.421008       -15.15
-43.342115       756.30
-43.263247      1470.40
-43.184403      1339.65
-43.105584      1454.75
-43.026789      1579.20
-42.948019      1302.15
-42.869273      1126.95
-42.790552      1373.05
-42.711856      1030.65
-42.633184       509.05
-42.554536       536.90
-42.475913       664.65
-42.397315       981.30
-42.318741      1476.05
-42.240192      1555.50
-42.161667      1260.65
-42.083167      1054.75
-42.004691      1248.40
-41.926240      1849.60
-41.847814      2225.70
-41.769412      1536.10
-41.691034       979.95
-41.612681       994.95
-41.534353       543.05
-41.456049       523.00
-41.377770       302.30
-41.299515        12.95
-41.221285       685.10
-41.143079       702.00
-41.064898       803.60
-40.986741      1019.30
-40.908609       730.60
-40.830502       804.50
-40.752419      1220.80
-40.674360      1286.00
-40.596326      1416.00
-40.518317      1075.20
-40.440332       579.55
-40.362372       988.10
-40.284436      1246.45
-40.206525      1205.90
-40.128638      1086.85
-40.050776      1506.40
-39.972939      1511.50
-39.895126      1510.50
-39.817337      1229.15
-39.739573      1621.90
-39.661834      1704.30
-39.584119      2002.60
-39.506428      1332.05
-39.428763      1129.60
-39.351121       920.70
-39.273505       873.60
-39.195913       758.55
-39.118345      1222.85
-39.040802       978.95
-38.963283      1404.90
-38.885789      1505.20
-38.808320      1008.65
-38.730875      1090.20
-38.653455      1080.05
-38.576059       494.95
-38.498687       585.05
-38.421341       567.80
-38.344019      1019.20
-38.266721      1060.60
-38.189448       598.25
-38.112199       296.60
-38.034975       987.55
-37.957776       635.20
-37.880601      1457.70
-37.803450      1590.10
-37.726324      1676.15
-37.649223      1487.40
-37.572146      1826.85
-37.495094      1505.45
-37.418066      1977.05
-37.341063      1898.20
-37.264084      1627.85
-37.187130      1166.20
-37.110201      1413.55
-37.033296      1337.50
-36.956415      1009.85
-36.879559      1559.80
-36.802728      1148.80
-36.725921      1569.05
-36.649139      1421.20
-36.572381      1359.60
-36.495648      1583.60
-36.418939      1582.85
-36.342255      1488.35
-36.265596      1788.65
-36.188960      1549.80
-36.112350      2057.05
-36.035764      1903.55
-35.959203      1734.75
-35.882666      1609.15
-35.806153      1214.45
-35.729666       954.65
-35.653202      1128.35
-35.576764      1191.50
-35.500349      1792.25
-35.423960      1567.70
-35.347595      1350.95
-35.271254      1257.50
-35.194938      1618.20
-35.118647      2028.85
-35.042380      2078.35
-34.966137      1568.25
-34.889919      1720.15
-34.813726      2056.35
-34.737557      2140.00
-34.661413      1593.40
-34.585293      1078.00
-34.509198      1129.65
-34.433128       666.00
-34.357082      1603.70
-34.281060      1658.50
-34.205063      1552.50
-34.129091       873.20
-34.053143      1086.25
-33.977219       778.25
-33.901321      1071.65
-33.825446      1265.25
-33.749597      1859.45
-33.673771      1447.10
-33.597971      1314.05
-33.522195      1295.75
-33.446443      1201.25
-33.370716      1552.55
-33.295014      1615.70
-33.219336       735.55
-33.143682      1460.70
-33.068053      1677.95
-32.992449      1884.65
-32.916869      1882.45
-32.841314      1892.60
-32.765783      1363.20
-32.690277      1927.35
-32.614796      1928.25
-32.539339      2222.25
-32.463906      2050.15
-32.388498      2580.00
-32.313115      1824.90
-32.237756      1683.45
-32.162421      1299.00
-32.087112      1140.10
-32.011826      1364.80
-31.936566      1434.15
-31.861329      1090.30
-31.786118      1549.60
-31.710931      1415.10
-31.635768      1592.55
-31.560630      1553.30
-31.485517      2377.60
-31.410428      2145.00
-31.335363      2241.80
-31.260323      1803.30
-31.185308      2111.40
-31.110317      1808.40
-31.035351      1941.05
-30.960409      2462.70
-30.885492      2620.00
-30.810599      1839.85
-30.735731      2502.55
-30.660888      2519.90
-30.586069      2205.75
-30.511274      1590.20
-30.436505      1625.30
-30.361759      1820.60
-30.287038      2236.40
-30.212342      1914.50
-30.137670      1257.75
-30.063023      1345.70
-29.988400      1691.25
-29.913802      1595.10
-29.839229      1851.60
-29.764680      1750.05
-29.690155      1440.65
-29.615655      2089.20
-29.541180      1887.45
-29.466729      1296.60
-29.392303      1737.50
-29.317901      1756.50
-29.243524      1992.05
-29.169171      1971.75
-29.094843      2533.60
-29.020539      1903.05
-28.946260      1792.25
-28.872005      1898.65
-28.797775      2041.20
-28.723570      1852.85
-28.649389      1998.00
-28.575233      1703.15
-28.501101      1764.55
-28.426994      1834.55
-28.352911      1914.70
-28.278853      1436.75
-28.204819      1317.50
-28.130810       897.75
-28.056825       852.20
-27.982865       906.95
-27.908930      1241.85
-27.835019      1421.30
-27.761132      1155.85
-27.687270      1446.30
-27.613433      1382.95
-27.539620      1309.10
-27.465832      1443.40
-27.392068      1642.85
