# La4Ni3O10 O K edge XAS
# Room temperature
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
8.45085e+02 -9.64022e-04 -3.98316e-03
8.45262e+02 -5.40836e-04 -1.62866e-03
8.45464e+02 -9.24943e-05 -5.39175e-04
8.45674e+02 4.65780e-04 1.95454e-03
8.45855e+02 1.13157e-03 4.19646e-03
8.46078e+02 2.30946e-03 5.98806e-03
8.46276e+02 3.48494e-03 6.49528e-03
8.46461e+02 4.78069e-03 1.05312e-02
8.46677e+02 6.54580e-03 1.24608e-02
8.46871e+02 8.64449e-03 1.51749e-02
8.47065e+02 1.13959e-02 2.08886e-02
8.47263e+02 1.46735e-02 2.47345e-02
8.47470e+02 1.88133e-02 3.11552e-02
8.47699e+02 2.42507e-02 3.94619e-02
8.47859e+02 3.01711e-02 4.69709e-02
8.48075e+02 4.00291e-02 6.12130e-02
8.48287e+02 5.29504e-02 7.88772e-02
8.48481e+02 7.01005e-02 1.00568e-01
8.48676e+02 9.49636e-02 1.35661e-01
8.48888e+02 1.32696e-01 1.85251e-01
8.49071e+02 1.77185e-01 2.39275e-01
8.49274e+02 2.55516e-01 3.32344e-01
8.49465e+02 3.52963e-01 4.40819e-01
8.49673e+02 5.08166e-01 6.06006e-01
8.49865e+02 6.78502e-01 7.66955e-01
8.50060e+02 8.60878e-01 9.25507e-01
8.50281e+02 1.01742e+00 1.06268e+00
8.50464e+02 1.06322e+00 1.09453e+00
8.50677e+02 1.01972e+00 1.04637e+00
8.50860e+02 8.93709e-01 9.27447e-01
8.51078e+02 7.33354e-01 7.68716e-01
8.51269e+02 5.97260e-01 6.35476e-01
8.51470e+02 4.77879e-01 5.13194e-01
8.51662e+02 3.97548e-01 4.33891e-01
8.51854e+02 3.36626e-01 3.71826e-01
8.52055e+02 2.99649e-01 3.41546e-01
8.52260e+02 2.77533e-01 3.28841e-01
8.52486e+02 2.67309e-01 3.36650e-01
8.52670e+02 2.64951e-01 3.61620e-01
8.52884e+02 2.69976e-01 4.02642e-01
8.53077e+02 2.71394e-01 4.39838e-01
8.53274e+02 2.62102e-01 4.49438e-01
8.53462e+02 2.45045e-01 4.40980e-01
8.53685e+02 2.27676e-01 4.28471e-01
8.53857e+02 2.11439e-01 4.09799e-01
8.54076e+02 1.97311e-01 3.97080e-01
8.54265e+02 1.86642e-01 3.85144e-01
8.54458e+02 1.77053e-01 3.73833e-01
8.54664e+02 1.67040e-01 3.56253e-01
8.54862e+02 1.55946e-01 3.36656e-01
8.55055e+02 1.45689e-01 3.12904e-01
8.55266e+02 1.34654e-01 2.86584e-01
8.55464e+02 1.25571e-01 2.61459e-01
8.55671e+02 1.17268e-01 2.38401e-01
8.55856e+02 1.09367e-01 2.17793e-01
8.56063e+02 1.02544e-01 1.94773e-01
8.56279e+02 9.65478e-02 1.77300e-01
8.56473e+02 9.20844e-02 1.63012e-01
8.56680e+02 8.73015e-02 1.49472e-01
8.56857e+02 8.38977e-02 1.36368e-01
8.57069e+02 8.02893e-02 1.27808e-01
8.57238e+02 7.82178e-02 1.18429e-01
8.57471e+02 7.65092e-02 1.12622e-01
8.57662e+02 7.42089e-02 1.06181e-01
8.57861e+02 7.22715e-02 9.92469e-02
8.58082e+02 7.05019e-02 9.45852e-02
8.58251e+02 6.89343e-02 9.02829e-02
8.58476e+02 6.75748e-02 8.66283e-02
8.58641e+02 6.66516e-02 8.25282e-02
8.58862e+02 6.55440e-02 8.02257e-02
8.59066e+02 6.44739e-02 7.84196e-02
8.59275e+02 6.34942e-02 7.46463e-02
8.59488e+02 6.30993e-02 7.51511e-02
8.59674e+02 6.21016e-02 7.03755e-02
8.59888e+02 6.10950e-02 6.89568e-02
8.60075e+02 6.05626e-02 6.89580e-02
8.60253e+02 5.98820e-02 6.58166e-02
8.60480e+02 5.89760e-02 6.43374e-02
8.60645e+02 5.84332e-02 6.15398e-02
8.60855e+02 5.75176e-02 5.91877e-02
8.61068e+02 5.64686e-02 5.63986e-02
8.61295e+02 5.55443e-02 5.46567e-02
8.61483e+02 5.46311e-02 5.11788e-02
8.61671e+02 5.36452e-02 4.77905e-02
8.61889e+02 5.25986e-02 4.46213e-02
8.62086e+02 5.21719e-02 4.44978e-02
8.62274e+02 5.08135e-02 3.98263e-02
8.62467e+02 4.99757e-02 3.89269e-02
8.62672e+02 4.91290e-02 3.67624e-02
8.62856e+02 4.84353e-02 3.43813e-02
8.63071e+02 4.76671e-02 3.15971e-02
8.63268e+02 4.71451e-02 2.94931e-02
8.63474e+02 4.69352e-02 3.07727e-02
8.63650e+02 4.68652e-02 3.00645e-02
8.63883e+02 4.66285e-02 2.88988e-02
8.64071e+02 4.62353e-02 2.79485e-02
8.64265e+02 4.56384e-02 2.82632e-02
8.64458e+02 4.54023e-02 2.46631e-02
8.64678e+02 4.52242e-02 2.57671e-02
8.64863e+02 4.51139e-02 2.45299e-02
8.65061e+02 4.49116e-02 2.50819e-02
8.65277e+02 4.51342e-02 2.35930e-02
8.65475e+02 4.51439e-02 2.49125e-02
8.65678e+02 4.54651e-02 2.50965e-02
8.65867e+02 4.55068e-02 2.51957e-02
8.66070e+02 4.53531e-02 2.38097e-02
8.66260e+02 4.54185e-02 2.64474e-02
8.66446e+02 4.51908e-02 2.39113e-02
8.66676e+02 4.53679e-02 2.50081e-02
8.66883e+02 4.58290e-02 2.77270e-02
8.67060e+02 4.60154e-02 2.69365e-02
8.67264e+02 4.59337e-02 2.70454e-02
8.67454e+02 4.61502e-02 2.84012e-02
8.67675e+02 4.57466e-02 2.90150e-02
8.67866e+02 4.57666e-02 2.97728e-02
8.68065e+02 4.60475e-02 2.98999e-02
8.68278e+02 4.61136e-02 3.21285e-02
8.68474e+02 4.68973e-02 3.55144e-02
8.68633e+02 4.73036e-02 3.83531e-02
8.68873e+02 4.87361e-02 4.49215e-02
8.69069e+02 5.09358e-02 5.27488e-02
8.69264e+02 5.38619e-02 6.35166e-02
8.69460e+02 5.86765e-02 8.24664e-02
8.69660e+02 6.37523e-02 1.05203e-01
8.69869e+02 7.00153e-02 1.35423e-01
8.70065e+02 7.56105e-02 1.63024e-01
8.70284e+02 7.97865e-02 1.86171e-01
8.70457e+02 8.21037e-02 2.01771e-01
8.70685e+02 8.36351e-02 2.11194e-01
8.70872e+02 8.46125e-02 2.18187e-01
8.71086e+02 8.51456e-02 2.23674e-01
8.71270e+02 8.34308e-02 2.23429e-01
8.71462e+02 8.13345e-02 2.16237e-01
8.71654e+02 7.80641e-02 2.06705e-01
8.71868e+02 7.43506e-02 1.93768e-01
8.72056e+02 7.11053e-02 1.74436e-01
8.72276e+02 6.74125e-02 1.57376e-01
8.72477e+02 6.49213e-02 1.41935e-01
8.72661e+02 6.23625e-02 1.28347e-01
8.72858e+02 6.02786e-02 1.15000e-01
8.73051e+02 5.86682e-02 1.06948e-01
8.73275e+02 5.73308e-02 9.57025e-02
8.73473e+02 5.57121e-02 8.79756e-02
8.73657e+02 5.49416e-02 8.27509e-02
8.73854e+02 5.41962e-02 7.53751e-02
8.74052e+02 5.31923e-02 7.01988e-02
8.74268e+02 5.27499e-02 6.44584e-02
8.74443e+02 5.19969e-02 6.12178e-02
8.74677e+02 5.16771e-02 5.72133e-02
8.74898e+02 5.11405e-02 5.56396e-02
8.75056e+02 5.10530e-02 5.35309e-02
8.75290e+02 5.09744e-02 5.24135e-02
8.75475e+02 5.07852e-02 5.01692e-02
8.75669e+02 5.05939e-02 4.98968e-02
8.75881e+02 5.06960e-02 4.80362e-02
8.76066e+02 5.04847e-02 4.78546e-02
8.76260e+02 5.05199e-02 4.64988e-02
8.76464e+02 5.04913e-02 4.66017e-02
8.76685e+02 5.06350e-02 4.53403e-02
8.76871e+02 5.05984e-02 4.48694e-02
8.77056e+02 5.04230e-02 4.45184e-02
8.77237e+02 5.03810e-02 4.51067e-02
8.77459e+02 5.05864e-02 4.26069e-02
8.77677e+02 5.06605e-02 4.36674e-02
8.77881e+02 5.02917e-02 4.28854e-02
8.78062e+02 5.00501e-02 4.37073e-02
8.78266e+02 5.05540e-02 4.54178e-02
8.78480e+02 5.06770e-02 4.26106e-02
8.78670e+02 5.03548e-02 4.30258e-02
8.78879e+02 5.02965e-02 4.26396e-02
8.79034e+02 5.01146e-02 4.19908e-02
8.79266e+02 4.98620e-02 3.93070e-02
8.79452e+02 4.93623e-02 4.01144e-02
8.79676e+02 4.91542e-02 3.75662e-02
8.79853e+02 4.91214e-02 3.62625e-02
