# La4Ni3O10 O K edge XAS
# Room temperature
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
5.25156e+02 7.97965e-04 6.46385e-04
5.25349e+02 -3.55400e-04 -1.33754e-04
5.25550e+02 -1.63482e-03 -6.95527e-04
5.25750e+02 2.64667e-04 -5.25072e-04
5.25953e+02 1.27067e-03 1.27545e-03
5.26152e+02 2.76439e-04 -4.12505e-04
5.26354e+02 -5.96915e-04 -6.78246e-04
5.26551e+02 -1.06375e-04 5.25375e-04
5.26745e+02 9.50208e-05 -4.43992e-04
5.26946e+02 -1.12502e-05 4.41886e-04
5.27149e+02 2.16413e-04 7.60870e-04
5.27357e+02 -2.11555e-03 1.04606e-03
5.27551e+02 -2.08582e-03 2.60146e-03
5.27753e+02 -2.14926e-03 3.35224e-03
5.27949e+02 -1.91685e-03 3.47457e-03
5.28151e+02 -8.62442e-03 4.21748e-03
5.28353e+02 -2.07339e-03 5.83409e-03
5.28552e+02 -1.58790e-03 8.13386e-03
5.28749e+02 -8.55391e-04 8.29433e-03
5.28952e+02 -1.97504e-03 1.34597e-02
5.29146e+02 1.73725e-03 1.92380e-02
5.29350e+02 1.84472e-03 2.61228e-02
5.29553e+02 8.84619e-03 4.16577e-02
5.29746e+02 2.03214e-02 7.93163e-02
5.29949e+02 6.38238e-02 1.98411e-01
5.30153e+02 1.68914e-01 5.03718e-01
5.30348e+02 3.26166e-01 8.72869e-01
5.30550e+02 4.31925e-01 1.06214e+00
5.30750e+02 4.07978e-01 9.85764e-01
5.30946e+02 3.25362e-01 8.01012e-01
5.31145e+02 2.60882e-01 6.51635e-01
5.31344e+02 2.26702e-01 5.56252e-01
5.31552e+02 2.14232e-01 4.88752e-01
5.31753e+02 2.10457e-01 4.43628e-01
5.31951e+02 2.03505e-01 4.02566e-01
5.32147e+02 1.99629e-01 3.71675e-01
5.32346e+02 1.96851e-01 3.46468e-01
5.32554e+02 2.12406e-01 3.20528e-01
5.32748e+02 2.21199e-01 3.09262e-01
5.32950e+02 2.45880e-01 3.10736e-01
5.33147e+02 2.74060e-01 3.27676e-01
