# La4Ni3O8 O K edge XAS
# T = 25 K
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
5.25146e+02 2.22922e-03 5.79853e-04
5.25349e+02 1.65517e-03 -6.66482e-04
5.25540e+02 -1.48809e-03 -7.19093e-04
5.25748e+02 -4.37060e-04 -2.35402e-04
5.25953e+02 -3.99574e-03 8.02300e-04
5.26147e+02 -9.31215e-05 8.62533e-04
5.26349e+02 -4.15223e-04 2.11060e-04
5.26553e+02 2.64910e-04 -1.28083e-03
5.26749e+02 7.63424e-04 1.02622e-03
5.26951e+02 1.51652e-03 -5.80162e-04
5.27151e+02 2.32244e-03 -2.37481e-04
5.27347e+02 2.96190e-03 1.57997e-04
5.27553e+02 3.75463e-03 -4.99987e-04
5.27756e+02 4.91479e-03 1.04315e-03
5.27949e+02 4.76667e-03 4.48111e-04
5.28156e+02 5.42371e-03 7.88774e-04
5.28361e+02 5.06751e-03 2.40742e-03
5.28550e+02 4.53051e-03 3.29186e-03
5.28753e+02 7.76381e-03 2.31623e-03
5.28945e+02 9.26946e-03 3.89162e-03
5.29148e+02 1.20532e-02 2.52862e-03
5.29352e+02 1.70119e-02 4.76794e-03
5.29555e+02 2.83086e-02 9.33082e-03
5.29751e+02 6.84585e-02 1.85599e-02
5.29944e+02 1.58852e-01 3.82428e-02
5.30156e+02 2.65682e-01 6.58308e-02
5.30341e+02 3.17745e-01 8.17189e-02
5.30543e+02 3.21399e-01 8.72032e-02
5.30750e+02 2.96502e-01 9.73710e-02
5.30947e+02 2.63308e-01 1.27388e-01
5.31145e+02 2.35090e-01 2.10891e-01
5.31346e+02 2.26106e-01 3.15694e-01
5.31553e+02 2.31688e-01 3.71030e-01
5.31761e+02 2.32463e-01 3.59730e-01
5.31956e+02 2.16425e-01 3.31690e-01
5.32146e+02 1.90150e-01 3.15927e-01
5.32352e+02 1.72872e-01 3.35580e-01
5.32549e+02 1.83120e-01 4.09279e-01
5.32749e+02 2.23814e-01 5.29199e-01
5.32948e+02 2.90316e-01 6.55218e-01
5.33152e+02 3.42844e-01 7.65423e-01
5.33350e+02 3.91723e-01 8.64310e-01
5.33539e+02 4.48297e-01 9.37607e-01
5.33743e+02 4.94416e-01 9.59190e-01
