# La4Ni3O8 Ni L2,3 edge XAS
# T = 25 K
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
8.45068e+02 -1.30503e-03 -1.95182e-03
8.45262e+02 -5.26014e-04 1.07612e-04
8.45480e+02 -7.09951e-05 -5.50278e-04
8.45678e+02 6.61301e-04 4.43606e-04
8.45859e+02 1.24074e-03 1.95088e-03
8.46078e+02 2.06038e-03 3.05520e-03
8.46272e+02 3.15375e-03 4.54485e-03
8.46470e+02 4.49240e-03 7.38083e-03
8.46672e+02 5.98695e-03 1.12624e-02
8.46871e+02 7.77910e-03 1.39304e-02
8.47065e+02 1.00760e-02 1.66524e-02
8.47255e+02 1.29260e-02 2.01216e-02
8.47483e+02 1.66484e-02 2.75757e-02
8.47660e+02 2.09360e-02 3.31972e-02
8.47872e+02 2.66568e-02 4.17544e-02
8.48092e+02 3.44586e-02 5.12774e-02
8.48265e+02 4.43208e-02 6.37503e-02
8.48469e+02 5.83222e-02 8.22264e-02
8.48664e+02 7.64570e-02 1.04675e-01
8.48884e+02 1.04438e-01 1.36795e-01
8.49075e+02 1.38378e-01 1.75686e-01
8.49262e+02 1.86625e-01 2.28854e-01
8.49482e+02 2.65621e-01 3.10637e-01
8.49648e+02 3.60477e-01 4.05483e-01
8.49865e+02 5.09824e-01 5.49961e-01
8.50086e+02 6.75456e-01 7.11244e-01
8.50486e+02 9.50431e-01 9.59139e-01
8.50686e+02 9.82866e-01 9.85649e-01
8.50860e+02 9.37939e-01 9.45271e-01
8.51073e+02 8.25368e-01 8.32506e-01
8.51274e+02 6.73639e-01 6.89482e-01
8.51478e+02 5.47223e-01 5.69803e-01
8.51675e+02 4.42750e-01 4.72021e-01
8.51884e+02 3.74139e-01 4.11403e-01
8.52067e+02 3.27842e-01 3.87089e-01
8.52273e+02 3.00967e-01 4.02268e-01
8.52478e+02 2.94437e-01 4.20382e-01
8.52679e+02 2.98639e-01 4.28704e-01
8.52876e+02 3.08382e-01 4.42804e-01
8.53073e+02 3.15860e-01 4.61870e-01
8.53270e+02 3.10472e-01 4.75948e-01
8.53479e+02 2.88673e-01 4.66097e-01
8.53681e+02 2.63151e-01 4.39077e-01
8.53874e+02 2.41438e-01 4.02026e-01
8.54080e+02 2.21161e-01 3.59666e-01
8.54247e+02 2.02818e-01 3.22524e-01
8.54475e+02 1.82400e-01 2.82407e-01
8.54673e+02 1.67388e-01 2.58184e-01
8.54857e+02 1.57571e-01 2.45368e-01
8.55073e+02 1.46422e-01 2.34966e-01
8.55262e+02 1.37758e-01 2.29196e-01
8.55456e+02 1.30274e-01 2.25133e-01
8.55684e+02 1.21965e-01 2.09481e-01
8.55848e+02 1.15850e-01 1.93822e-01
8.56067e+02 1.09002e-01 1.79665e-01
8.56262e+02 1.02377e-01 1.63761e-01
8.56464e+02 9.70273e-02 1.51890e-01
8.56667e+02 9.23166e-02 1.44449e-01
8.56862e+02 8.83926e-02 1.37456e-01
8.57052e+02 8.56660e-02 1.33847e-01
8.57259e+02 8.27602e-02 1.30685e-01
8.57463e+02 8.03521e-02 1.26555e-01
8.57670e+02 7.80084e-02 1.23195e-01
8.57869e+02 7.64534e-02 1.21416e-01
8.58060e+02 7.50635e-02 1.19028e-01
8.58290e+02 7.34755e-02 1.15926e-01
8.58485e+02 7.21648e-02 1.11732e-01
8.58667e+02 7.10054e-02 1.09222e-01
8.58862e+02 6.99613e-02 1.06228e-01
8.59075e+02 6.91416e-02 1.03043e-01
8.59283e+02 6.79091e-02 1.01497e-01
8.59466e+02 6.73454e-02 9.85468e-02
8.59670e+02 6.62465e-02 9.41131e-02
8.59883e+02 6.56523e-02 9.24766e-02
8.60070e+02 6.48758e-02 8.80488e-02
8.60258e+02 6.41004e-02 8.85163e-02
8.60462e+02 6.34331e-02 8.70514e-02
8.60685e+02 6.26272e-02 8.34893e-02
8.60876e+02 6.19893e-02 8.01999e-02
8.61068e+02 6.12352e-02 7.70972e-02
8.61265e+02 6.02068e-02 7.52410e-02
8.61479e+02 5.90708e-02 7.14441e-02
8.61658e+02 5.80790e-02 7.10987e-02
8.61876e+02 5.71273e-02 6.82486e-02
8.62077e+02 5.64026e-02 6.61422e-02
8.62265e+02 5.56536e-02 6.58332e-02
8.62462e+02 5.48218e-02 6.50661e-02
8.62694e+02 5.39574e-02 6.31817e-02
8.62847e+02 5.33861e-02 6.29972e-02
8.63062e+02 5.28503e-02 6.24650e-02
8.63259e+02 5.21368e-02 6.13878e-02
8.63466e+02 5.18565e-02 5.92308e-02
8.63667e+02 5.13776e-02 5.77235e-02
8.63856e+02 5.12029e-02 5.65382e-02
8.64063e+02 5.08911e-02 5.86986e-02
8.64265e+02 5.08317e-02 5.78751e-02
8.64471e+02 5.06621e-02 5.77541e-02
8.64674e+02 5.06778e-02 5.87926e-02
8.64863e+02 5.05951e-02 5.81312e-02
8.65074e+02 5.06728e-02 5.75990e-02
8.65272e+02 5.13248e-02 6.13666e-02
8.65462e+02 5.12862e-02 6.13043e-02
8.65678e+02 5.18154e-02 6.36023e-02
8.65859e+02 5.21272e-02 6.28950e-02
8.66057e+02 5.20835e-02 6.31265e-02
8.66278e+02 5.19362e-02 6.32804e-02
8.66455e+02 5.19454e-02 6.38936e-02
8.66684e+02 5.19576e-02 6.57322e-02
8.66861e+02 5.21638e-02 6.70503e-02
8.67096e+02 5.24532e-02 6.73640e-02
8.67268e+02 5.25258e-02 6.89746e-02
8.67445e+02 5.25954e-02 7.16685e-02
8.67676e+02 5.30540e-02 7.38184e-02
8.67870e+02 5.31170e-02 7.67977e-02
8.68048e+02 5.33028e-02 8.31263e-02
8.68261e+02 5.38818e-02 8.88147e-02
8.68478e+02 5.45206e-02 9.80135e-02
8.68651e+02 5.61442e-02 1.12726e-01
8.68869e+02 5.80765e-02 1.34341e-01
8.69051e+02 6.07781e-02 1.53638e-01
8.69260e+02 6.49520e-02 1.76984e-01
8.69455e+02 7.14452e-02 1.90631e-01
8.69665e+02 7.83675e-02 1.99037e-01
8.69869e+02 8.60439e-02 2.12528e-01
8.70061e+02 9.33892e-02 2.27795e-01
8.70261e+02 9.89845e-02 2.40894e-01
8.70457e+02 1.01694e-01 2.44075e-01
8.70671e+02 1.03002e-01 2.39677e-01
8.70863e+02 1.02661e-01 2.27275e-01
