# La4Ni3O8 O K edge XAS
# T = 25 K
# Horizontal scattering geometry, theta = 15 degrees, 2theta = 95 degrees
# SEXTANTS beamline, SOLEIL synchrotron
# Energy 	 TEY 	 TFY
5.25152e+02 1.91200e-03 7.55430e-04
5.25357e+02 1.02362e-03 -6.94535e-04
5.25544e+02 -1.10509e-05 -1.83529e-04
5.25755e+02 -4.98529e-03 7.73853e-04
5.25953e+02 -4.85997e-04 -1.18576e-03
5.26154e+02 2.23109e-03 1.40868e-04
5.26347e+02 -6.51921e-04 4.96569e-04
5.26548e+02 -2.50015e-04 -6.92831e-04
5.26750e+02 5.52633e-04 6.52636e-04
5.26956e+02 6.64932e-04 -6.26993e-05
5.27353e+02 4.60537e-03 -1.71925e-03
5.27551e+02 8.26745e-03 -3.22485e-04
5.27745e+02 8.24239e-03 1.46255e-03
5.27951e+02 9.17146e-03 6.14882e-04
5.28158e+02 8.77493e-03 9.54056e-06
5.28351e+02 9.36319e-03 4.16922e-04
5.28545e+02 9.11108e-03 9.08004e-04
5.28743e+02 1.72178e-02 3.45439e-03
5.28952e+02 1.25362e-02 2.93282e-03
5.29156e+02 1.52132e-02 5.00695e-03
5.29342e+02 1.63088e-02 3.24184e-03
5.29545e+02 2.14561e-02 5.72959e-03
5.29748e+02 3.69391e-02 1.03170e-02
5.29946e+02 7.62186e-02 2.31004e-02
5.30149e+02 1.52469e-01 4.31203e-02
5.30354e+02 2.32423e-01 6.64170e-02
5.30550e+02 2.65878e-01 8.54134e-02
5.30752e+02 2.54256e-01 1.09659e-01
5.30947e+02 2.34329e-01 1.96394e-01
5.31156e+02 2.36737e-01 4.19364e-01
5.31351e+02 2.68183e-01 6.57702e-01
5.31552e+02 3.21776e-01 7.60819e-01
5.31750e+02 3.58277e-01 7.18918e-01
5.31946e+02 3.44932e-01 6.13379e-01
5.32149e+02 2.87368e-01 4.96102e-01
5.32347e+02 2.38487e-01 4.21103e-01
5.32551e+02 2.15382e-01 3.92345e-01
5.32748e+02 2.19946e-01 4.00506e-01
5.32958e+02 2.52609e-01 4.35454e-01
5.33154e+02 3.05337e-01 5.00319e-01
5.33343e+02 3.75340e-01 5.90297e-01
5.33545e+02 4.48013e-01 6.88193e-01
5.33741e+02 5.12231e-01 7.58313e-01
5.33951e+02 5.59173e-01 8.03385e-01
5.34144e+02 5.91764e-01 8.33292e-01
5.34345e+02 6.19924e-01 8.56135e-01
5.34552e+02 6.52049e-01 9.01754e-01
5.34752e+02 6.95871e-01 9.45143e-01
5.34952e+02 7.66317e-01 9.83767e-01
5.35163e+02 8.41502e-01 1.01180e+00
5.35340e+02 9.18903e-01 1.04180e+00
5.35549e+02 9.88406e-01 1.07852e+00
5.35752e+02 1.03227e+00 1.08472e+00
5.35951e+02 1.05824e+00 1.07169e+00
5.36149e+02 1.08026e+00 1.06044e+00
5.36352e+02 1.10489e+00 1.07388e+00
5.36550e+02 1.13663e+00 1.09141e+00
5.36750e+02 1.16980e+00 1.11549e+00
5.36946e+02 1.20166e+00 1.15266e+00
5.37150e+02 1.23716e+00 1.19977e+00
5.37349e+02 1.26912e+00 1.25805e+00
5.37548e+02 1.31719e+00 1.33789e+00
5.37748e+02 1.35778e+00 1.41149e+00
5.37959e+02 1.38641e+00 1.45012e+00
5.38157e+02 1.38569e+00 1.44530e+00
5.38351e+02 1.36131e+00 1.41354e+00
5.38542e+02 1.32139e+00 1.38745e+00
5.38743e+02 1.26092e+00 1.37140e+00
5.38945e+02 1.19016e+00 1.33989e+00
5.39142e+02 1.11897e+00 1.28295e+00
5.39347e+02 1.04880e+00 1.18760e+00
5.39547e+02 9.89534e-01 1.08540e+00
5.39748e+02 9.41313e-01 9.80791e-01
5.39948e+02 9.05984e-01 8.93914e-01
5.40144e+02 8.85684e-01 8.29753e-01
5.40348e+02 8.78229e-01 7.80478e-01
5.40546e+02 8.83442e-01 7.55111e-01
5.40742e+02 9.02526e-01 7.57973e-01
5.40952e+02 9.34297e-01 7.89086e-01
5.41150e+02 9.73186e-01 8.33627e-01
5.41355e+02 1.01353e+00 8.80304e-01
5.41550e+02 1.05275e+00 9.24031e-01
5.41750e+02 1.08732e+00 9.54898e-01
5.41949e+02 1.11236e+00 9.77136e-01
5.42153e+02 1.13612e+00 9.97178e-01
