# Elastic line measurement
# Soleil March/2017
# Energy = 849.87 eV
# pixel 	 data 	 fit
-1.225000e+01 -2.430176e+01 4.834266e+02
-1.175000e+01 -7.249480e+01 4.834266e+02
-1.125000e+01 -3.168784e+01 4.834266e+02
-1.075000e+01 -2.118809e+02 4.834266e+02
-1.025000e+01 -1.700739e+02 4.834266e+02
-9.750000e+00 -2.272669e+02 4.834266e+02
-9.250000e+00 -2.894600e+02 4.834266e+02
-8.750000e+00 -3.456530e+02 4.834266e+02
-8.250000e+00 -4.148461e+02 4.834266e+02
-7.750000e+00 -4.280391e+02 4.834266e+02
-7.250000e+00 -3.862321e+02 4.834266e+02
-6.750000e+00 -5.184252e+02 4.834266e+02
-6.250000e+00 -4.716182e+02 4.834266e+02
-5.750000e+00 -4.888112e+02 4.834266e+02
-5.250000e+00 -5.000043e+02 4.834266e+02
-4.750000e+00 -6.851973e+02 4.834266e+02
-4.250000e+00 -7.233904e+02 4.834266e+02
-3.750000e+00 -7.055834e+02 4.834266e+02
-3.250000e+00 -7.557764e+02 4.834266e+02
-2.750000e+00 -8.289695e+02 4.834266e+02
-2.250000e+00 -8.571625e+02 4.834266e+02
-1.750000e+00 -9.903556e+02 4.834266e+02
-1.250000e+00 -9.105486e+02 4.834266e+02
-7.500000e-01 -1.065742e+03 4.834266e+02
-2.500000e-01 -9.959347e+02 4.834266e+02
2.500000e-01 -9.951277e+02 4.834266e+02
7.500000e-01 -9.213207e+02 4.834266e+02
1.250000e+00 -9.705138e+02 4.834266e+02
1.750000e+00 -8.037068e+02 4.834266e+02
2.250000e+00 -9.928999e+02 4.834266e+02
2.750000e+00 -7.110929e+02 4.834266e+02
3.250000e+00 -9.652859e+02 4.834266e+02
3.750000e+00 -8.434790e+02 4.834266e+02
4.250000e+00 -1.001672e+03 4.834266e+02
4.750000e+00 -9.208650e+02 4.834266e+02
5.250000e+00 -9.730581e+02 4.834266e+02
5.750000e+00 -7.952511e+02 4.834266e+02
6.250000e+00 -9.234442e+02 4.834266e+02
6.750000e+00 -7.846372e+02 4.834266e+02
7.250000e+00 -9.698302e+02 4.834266e+02
7.750000e+00 -7.830233e+02 4.834266e+02
8.250000e+00 -8.632163e+02 4.834266e+02
8.750000e+00 -6.674093e+02 4.834266e+02
9.250000e+00 -1.018602e+03 4.834266e+02
9.750000e+00 -7.107954e+02 4.834266e+02
1.025000e+01 -6.739885e+02 4.834266e+02
1.075000e+01 -6.131815e+02 4.834266e+02
1.125000e+01 -7.233745e+02 4.834266e+02
1.175000e+01 -7.605676e+02 4.834266e+02
1.225000e+01 -6.227606e+02 4.834266e+02
1.275000e+01 -6.529536e+02 4.834266e+02
1.325000e+01 -6.811467e+02 4.834266e+02
1.375000e+01 -6.573397e+02 4.834266e+02
1.425000e+01 -6.005328e+02 4.834266e+02
1.475000e+01 -4.397258e+02 4.834266e+02
1.525000e+01 -6.269188e+02 4.834266e+02
1.575000e+01 -6.131119e+02 4.834266e+02
1.625000e+01 -7.223049e+02 4.834266e+02
1.675000e+01 -6.844979e+02 4.834266e+02
1.725000e+01 -6.366910e+02 4.834266e+02
1.775000e+01 -5.678840e+02 4.834266e+02
1.825000e+01 -5.980771e+02 4.834266e+02
1.875000e+01 -5.182701e+02 4.834266e+02
1.925000e+01 -6.564631e+02 4.834266e+02
1.975000e+01 -5.546562e+02 4.834266e+02
2.025000e+01 -5.068492e+02 4.834266e+02
2.075000e+01 -4.030422e+02 4.834266e+02
2.125000e+01 -8.192353e+02 4.834266e+02
2.175000e+01 -3.794283e+02 4.834266e+02
2.225000e+01 -5.506214e+02 4.834266e+02
2.275000e+01 -4.638144e+02 4.834266e+02
2.325000e+01 -5.140074e+02 4.834266e+02
2.375000e+01 -6.202005e+02 4.834266e+02
2.425000e+01 -5.653935e+02 4.834266e+02
2.475000e+01 -5.465865e+02 4.834266e+02
2.525000e+01 -4.887796e+02 4.834266e+02
2.575000e+01 -6.409726e+02 4.834266e+02
2.625000e+01 -4.851657e+02 4.834266e+02
2.675000e+01 -4.463587e+02 4.834266e+02
2.725000e+01 -4.885517e+02 4.834266e+02
2.775000e+01 -5.627448e+02 4.834266e+02
